category,group,image_path,score
laptop,group_145629,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_145629/image_1.jpg,65.0
laptop,group_145629,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_145629/image_2.jpg,60.0
laptop,group_145629,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_145629/image_3.jpg,55.0
laptop,group_145629,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_145629/image_4.jpg,70.0
laptop,group_27e8ebec,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_27e8ebec/image_1.jpg,85.0
laptop,group_27e8ebec,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/laptop/group_27e8ebec/image_2.jpg,90.0
tv,group_398158,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_398158/image_1.jpg,75.0
tv,group_398158,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_398158/image_2.jpg,70.0
tv,group_65207,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_65207/image_1.jpg,85.0
tv,group_65207,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_65207/image_2.jpg,75.0
tv,group_214252,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_214252/image_1.jpg,25.0
tv,group_214252,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_214252/image_2.jpg,50.0
tv,group_214252,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_214252/image_3.jpg,30.0
tv,group_64834,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_64834/image_1.jpg,55.0
tv,group_64834,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_64834/image_2.jpg,50.0
tv,group_105473,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_105473/image_1.jpg,60.0
tv,group_105473,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_105473/image_2.jpg,55.0
tv,group_232969,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_232969/image_1.jpg,60.0
tv,group_232969,home/debajyoti/paridhi_mtp/product_images_real/dataset_image_new/tv/group_232969/image_2.jpg,75.0
